site;plot;Pre-disturbance management;Post-disturbance management;Years since disturbance;Disturbance agent;Elevation;Aridity Change;HLI;Late-successional WDensity;Early-successional WDensity;Pioneer WDensity;Total WDensity;Pioneer RawDensity;Early-successional RawDensity;Late-successional RawDensity;Total RawDensity;Pre_Density;Pre_Sp1;Pre_Sp2;WDensity_Sp1;WDensity_Sp2
7com;1;Y;None;19;Wind;976,2694455;0,10449895;0,680191523;1539,505308;0;0;1539,505308;0;0;1866,666667;1866,666667;247,8920375;Picea abies;N;1539,505308;0
7com;2;Y;None;19;Wind;976,4333347;0,10449895;0,678522312;1675,767065;0;0;1675,767065;0;0;2666,666667;2666,666667;247,8920375;Picea abies;N;1675,767065;0
7com;3;Y;None;19;Wind;980,1058522;0,10449895;0,681003039;1918,188908;0;160,8983716;2079,087279;266,6666667;0;2400;2666,666667;247,8920375;Picea abies;N;1918,188908;0
7com;4;Y;None;19;Wind;981,50332;0,10449895;0,686387953;2990,690369;0;0;2990,690369;0;0;3733,333334;3733,333334;247,8920375;Picea abies;N;2990,690369;0
abres;1;Y;Logging only;19;Wind;639,3745506;0,077336884;0,644850564;3797,50675;22,98548166;0;3820,492232;0;266,6666667;4533,333334;4800,000001;278,5211504;Picea abies;N;3797,50675;0
abres;2;Y;Logging only;19;Wind;647,7771718;0,077336884;0,650031386;1926,801237;45,97096332;0;1972,7722;0;533,3333334;3466,666667;4000,000001;278,5211504;Picea abies;N;1880,830273;0
abres;3;Y;Logging only;19;Wind;648,968429;0,077336884;0,652321668;799,7429995;0;0;799,7429995;0;0;2133,333334;2133,333334;278,5211504;Picea abies;N;776,7575179;0
abres;4;Y;Logging only;19;Wind;641,6858738;0,077336884;0,651884979;516,6779827;22,98548166;0;539,6634643;0;266,6666667;800,0000001;1066,666667;278,5211504;Picea abies;N;516,6779827;0
andaines_260;1;Y;Logging only;19;Wind;284,2054872;0,00582799;0,670516544;0;0;980,9572797;980,9572797;1066,666667;0;0;1066,666667;500,3638865;Fagus sylvatica;N;0;0
andaines_260;2;Y;Logging only;19;Wind;283,43604;0,00582799;0,67210788;266,6666667;0;0;266,6666667;0;0;266,6666667;266,6666667;500,3638865;Fagus sylvatica;N;266,6666667;0
andaines_260;3;Y;Logging only;19;Wind;279,8937264;0,00582799;0,660621244;0;0;1801,783203;1801,783203;2133,333334;0;0;2133,333334;500,3638865;Fagus sylvatica;N;0;0
andaines_260;4;Y;Logging only;19;Wind;281,9605424;0,00582799;0,670812445;0;22,98548166;0;22,98548166;0;266,6666667;0;266,6666667;500,3638865;Fagus sylvatica;N;0;0
Antey;T01;Y;Logging only;23;Fire;1717,854395;0,002827515;1,021138101;68,72438003;880,8522804;113,977047;1063,553707;1100;10500;1350;12950;452;Picea abies;N;68,72438003;0
Antey;T02;Y;Logging only;23;Fire;1728,42664;0,002862242;0,986596841;13,85759327;252,0556977;72,03959373;337,9528847;350;4100;350;4800;452;Picea abies;N;13,85759327;0
Antey;T03;Y;Logging only;23;Fire;1740,311514;0,002901302;0,944764789;7,14046028;138,5832189;102,1522991;247,8759783;879,1208792;1978,021978;219,7802198;3076,923077;452;Picea abies;N;7,14046028;0
Antey;T04;Y;Logging only;23;Fire;1754,694245;0,002943455;0,887625291;13,7028833;85,48831064;21,65939618;120,8505901;333,3333334;1066,666667;333,3333334;1733,333333;452;Picea abies;N;13,7028833;0
Antey;T05;Y;Logging only;23;Fire;1772,537976;0,002991233;0,816311645;16,57606851;93,09120074;123,4585582;233,1258275;1466,666667;600;333,3333333;2400;452;Picea abies;N;16,57606851;0
Antey;T06;Y;Logging only;23;Fire;1793,244155;0,003050138;0,87003168;23,29490161;165,1418452;86,68178758;275,1185344;933,3333333;1600;200;2733,333333;452;Picea abies;N;23,29490161;0
Antey;T07;Y;Logging only;23;Fire;1806,229202;0,003085471;0,888252104;38,91550852;138,3209163;162,5984812;339,834906;1307,692308;1769,230769;538,4615384;3615,384615;452;Picea abies;N;38,91550852;0
Antey;T08;Y;Logging only;23;Fire;1820,728408;0,003124132;0,893171666;56,6427941;455,4630024;235,0960116;747,2018081;1857,142857;2714,285715;1000;5571,428572;452;Picea abies;N;56,6427941;0
Antey;T09;Y;Logging only;23;Fire;1840,83146;0,003175224;0,88970145;6,532921117;243,8144665;115,7887138;366,1361014;735,2941176;1397,058823;73,52941176;2205,882353;452;Picea abies;N;6,532921117;0
Antey;T10;Y;Logging only;23;Fire;1856,645744;0,003219301;0,931448703;84,72739016;293,9647349;183,5681187;562,2602437;642,8571429;1642,857143;428,5714286;2714,285714;452;Picea abies;N;84,72739016;0
Antey;T11;Y;Logging only;23;Fire;1867,323493;0,003254713;1,038317537;14,18911464;132,343331;0;146,5324456;0;900;100;1000;452;Picea abies;N;14,18911464;0
Aquila;1;Y;None;12;Fire;954,4781255;0,034968179;0,728825429;0;139,6497099;0;139,6497099;0;530,9734513;0;530,9734513;1600;Pinus nigra;N;2,347053948;0
Aquila;2;Y;None;12;Fire;945,0099836;0,034965086;0,662028377;0;491,1210386;2,347053948;493,4680926;88,49557522;3008,849557;0;3097,345133;1600;Pinus nigra;N;123,8070958;0
Aquila;3;Y;None;12;Fire;945,5269795;0,034999634;0,631412832;0;114,41888;122,0468053;236,4656852;265,4867257;619,4690265;0;884,9557522;1600;Pinus nigra;N;9,974979278;0
Aquila;4;Y;None;12;Fire;952,9046526;0,03503604;0,423137444;0;159,012905;0;159,012905;0;1150,442478;0;1150,442478;1600;Pinus nigra;N;159,012905;0
Aquila;5;Y;None;12;Fire;940,4953798;0,035049264;0,628425585;0;109,7247721;35,20580922;144,9305813;88,49557522;796,460177;0;884,9557522;1600;Pinus nigra;N;73,34543588;0
Aquila;6;Y;None;12;Fire;929,4170471;0,035039488;0,649759437;0;156,665851;0;156,665851;0;884,9557522;0;884,9557522;1600;Pinus nigra;N;156,665851;0
Aquila;7;Y;None;12;Fire;915,5725655;0,035039433;0,627056787;0;191,8716602;0;191,8716602;0;1415,929204;0;1415,929204;1600;Pinus nigra;N;186,0040254;0
Aquila;8;Y;None;12;Fire;945,1022494;0,035019911;0,646284446;0;163,7070129;0;163,7070129;0;442,4778761;0;442,4778761;1600;Pinus nigra;N;46,35431548;0
Aquila;9;Y;None;12;Fire;951,7198556;0,035023981;0,639824435;0;105,6174277;0;105,6174277;0;442,4778761;0;442,4778761;1600;Pinus nigra;N;105,6174277;0
Aquila;10;Y;None;12;Fire;959,2973793;0,034999052;0,683309464;0;120,2865148;0;120,2865148;0;884,9557522;0;884,9557522;1600;Pinus nigra;N;82,14688817;0
Aquila;11;Y;None;12;Fire;1036,971805;0,035542489;1,036009285;0;66,30427403;0;66,30427403;0;353,9823009;0;353,9823009;1600;Pinus nigra;N;0,586763487;0
Aquila;12;Y;None;12;Fire;1025,38574;0,03548933;1,066668984;0;71,58514541;0;71,58514541;0;265,4867257;0;265,4867257;1600;Pinus nigra;N;7,041161844;0
Aquila;13;Y;None;12;Fire;1012,954443;0,035446542;0,971612068;0;302,7699593;0;302,7699593;0;1238,938053;0;1238,938053;1600;Pinus nigra;N;267,56415;0
Aquila;14;Y;None;12;Fire;977,2659628;0,035295855;1,073455561;0;315,0919925;46,94107896;362,0330715;88,49557522;1327,433628;0;1415,929204;1600;Pinus nigra;N;150,7982162;0
Aquila;15;Y;None;12;Fire;969,3922083;0,035280337;0,968889457;0;506,9636527;0;506,9636527;0;2035,39823;0;2035,39823;1600;Pinus nigra;N;173,6819921;0
Aquila;16;Y;None;12;Fire;972,5758484;0,035302023;0,966044708;0;247,6141915;0;247,6141915;0;884,9557522;0;884,9557522;1600;Pinus nigra;N;56,32929475;0
Aquila;17;Y;None;12;Fire;1013,005998;0,03544786;1,027269029;0;41,66020757;76,27925331;117,9394609;176,9911504;265,4867257;0;442,4778761;1600;Pinus nigra;N;26,40435691;0
Aquila;18;Y;None;12;Fire;1052,864133;0,035629244;1,001084291;0;308,6375942;154,9055606;463,5431547;353,9823009;1858,40708;0;2212,389381;1600;Pinus nigra;N;236,4656853;0
Aquila;19;Y;None;12;Fire;1063,245604;0,035672486;0,982974763;0;251,7215359;0;251,7215359;0;1238,938053;0;1238,938053;1600;Pinus nigra;N;204,780457;0
Aquila;20;Y;None;12;Fire;1057,883073;0,03563592;1,039556109;0;104,4439007;19,94995856;124,3938592;88,49557522;707,9646018;0;796,460177;1600;Pinus nigra;N;65,71751055;0
Aquila;21;Y;None;12;Fire;1013,282633;0,035517366;0,830753023;0;534,5415366;0;534,5415366;0;2920,353982;0;2920,353982;1600;Pinus nigra;N;452,3946485;0
Aquila;22;Y;None;12;Fire;1008,000747;0,035469455;1,021190159;0;210,0613283;0;210,0613283;0;1946,902655;0;1946,902655;1600;Pinus nigra;N;198,3260586;0
